name,street_address,google_map,restaurant_type,food_review,price_range,latitude,longitude,postal_code
Reserve Cut at Setai,"40 Broad Street, 2nd Level New York, NY  10004",//www.google.com/maps/search/?api=1&query=40.7059080%2C-74.011807,Kosher,4.6,$50 and over,40.7060275,-74.0117654,10004
Rice & Gold,"50 Bowery New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7159360%2C-73.996789,Asian,4.2,$31 to $50,40.7158073,-73.9965567,10013
Thalassa,"179 Franklin Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7193000%2C-74.0092,Seafood,4.6,$31 to $50,40.7191955,-74.0095619,10013
Strip House Speakeasy,"11 East 12th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7344850%2C-73.993432,Steakhouse,4.7,$50 and over,40.7344807,-73.9934479,10003
Greenwich Steakhouse,"62 Greenwich Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7360770%2C-74.00057,Steakhouse,4.3,$50 and over,40.7360835,-74.0005983,10011
Schilling,"109 Washington Street New york, NY  10028",//www.google.com/maps/search/?api=1&query=40.7085740%2C-74.013989,Austrian,4.5,$30 and under,40.7085801,-74.0139689,10028
Morton's The Steakhouse - World Trade Center,"136 Washington New York, NY  10006",//www.google.com/maps/search/?api=1&query=40.7095790%2C-74.013907,Steakhouse,4.7,$50 and over,40.7097089,-74.0139508,10006
MarkJoseph Steakhouse,"261 Water Street New York, NY  10038",//www.google.com/maps/search/?api=1&query=40.7084090%2C-74.001578,Steakhouse,4.7,$50 and over,40.7083559,-74.0014821,10038
The Tuck Room- New York,"11 Fulton Street New York, NY  10038",//www.google.com/maps/search/?api=1&query=40.7067820%2C-74.003289,Gastro Pub,4,$30 and under,-74.0031157,10038,
Talde,"369 7th Avenue Brooklyn, NY  11215",//www.google.com/maps/search/?api=1&query=40.6654470%2C-73.982542,Asian,4.4,$30 and under,40.6654492,-73.9825668,11215
Bar Freud,"506 LaGuardia Place New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7277230%2C-73.999535,Austrian,4.4,$31 to $50,40.7277403,-73.9995539,10012
Yellow Magnolia Caf?,"Brooklyn Botanic Garden 990 Washington Ave Brooklyn, NY  11225",//www.google.com/maps/search/?api=1&query=40.6694370%2C-73.962844,American,4.4,$30 and under,40.6694113,-73.9623736,11225
Benchmark Restaurant,"339A Second St. Brooklyn, NY  11215",//www.google.com/maps/search/?api=1&query=40.6736470%2C-73.983262,Contemporary American,4.5,$31 to $50,40.6737664,-73.9831636,11215
Altesi Downtown,"200 Spring Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7252000%2C-74.0033,Italian,4.5,$31 to $50,40.7250957,-74.0033108,10012
Harvey @ The Williamsburg Hotel,"96 Wythe Ave Brooklyn, NY  11249",//www.google.com/maps/search/?api=1&query=40.7214770%2C-73.958723,Contemporary American,4,$30 and under,40.7216012,-73.958897,11249
ATRIO Wine Bar & Restaurant,"102 North End Avenue New York, NY  10282",//www.google.com/maps/search/?api=1&query=40.7147890%2C-74.016179,Contemporary American,4.6,$31 to $50,40.7150553,-74.015696,10282
Bobby Van's Steakhouse - Broad Street,"25 Broad Street New York, NY  10004",//www.google.com/maps/search/?api=1&query=40.7062700%2C-74.011272,Steakhouse,4.4,$31 to $50,40.70601,-74.0108846,10004
Brasserie Seoul,"300 Schermerhorn St. Brooklyn, NY  11217",//www.google.com/maps/search/?api=1&query=40.6873870%2C-73.982519,Contemporary French,4.1,$30 and under,40.6873592,-73.9824046,11217
Greenhouse Cafe,"7717 3rd Avenue Brooklyn, NY  11209-3001",//www.google.com/maps/search/?api=1&query=40.6295190%2C-74.028273,Continental,4.5,$30 and under,40.6295393,-74.0283024,NA
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI","1100 South Ave. Staten Island, NY  10314",//www.google.com/maps/search/?api=1&query=40.6147900%2C-74.176557,Italian,4.6,$31 to $50,40.6145769,-74.1772081,10314
