name,street_address,google_map,restaurant_type,food_review,price_range,latitude,longitude,postal_code
The Sea Grill,"Rockefeller Center - 19 W.49th Street or via the concourse thru any Rockefeller Center entrance New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7580000%2C-73.977,Seafood,4.6,$31 to $50,40.7584094,-73.9784184,10020
Bar Italia,"768 Madison Avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7678710%2C-73.968442,Italian,4.5,$31 to $50,40.7679158,-73.9685168,10065
Strip House Midtown,"15 West 44th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7552990%2C-73.980925,Steak,4.5,$50 and over,40.755344,-73.9806613,10036
Maiella - LIC,"46-10 Center Blvd. Long Island City, NY  11109",//www.google.com/maps/search/?api=1&query=40.7448040%2C-73.95789,Italian,4.6,$31 to $50,40.7473793,-73.9569939,11109
Storico,"New-York Historical Society 170 Central Park West New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7794400%2C-73.973911,Contemporary Italian,4.2,$31 to $50,40.7792476,-73.9742792,10024
Naples 45 Ristorante E Pizzeria,"200 Park Avenue New York, NY  10166",//www.google.com/maps/search/?api=1&query=40.7536600%2C-73.97586,Italian,4.2,$30 and under,40.7533488,-73.9766668,10166
La Sirena - The Dining Room,"88 Ninth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7424570%2C-74.00382,Italian,4.3,$31 to $50,40.7423522,-74.0040829,10011
Benjamin Steakhouse Prime,"23 E 40th St. New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7514370%2C-73.979977,American,4.7,$50 and over,40.7514995,-73.9799312,10016
Tavern 62 by David Burke,"135 E 62nd St New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7644420%2C-73.967082,American,4.4,$31 to $50,40.7644339,-73.9670934,10065
Michael's,"24 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7621300%2C-73.976223,American,4.6,$31 to $50,40.7620764,-73.9764372,10019
Le Coq Rico,"30 East 20th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7385740%2C-73.988902,Contemporary French,4.7,$31 to $50,40.7385845,-73.9889027,10003
